locus_name	symbol	full_name
Solyc00g500250.1	Solyc00g500250.1	Solyc00g500250.1
Solyc00g500251.1	Solyc00g500251.1	Solyc00g500251.1
Solyc00g500252.1	Solyc00g500252.1	Solyc00g500252.1
Solyc00g500253.1	Solyc00g500253.1	Solyc00g500253.1
Solyc00g500254.1	Solyc00g500254.1	Solyc00g500254.1
Solyc00g500255.1	Solyc00g500255.1	Solyc00g500255.1
Solyc00g500256.1	Solyc00g500256.1	Solyc00g500256.1
Solyc00g500257.1	Solyc00g500257.1	Solyc00g500257.1
Solyc00g500258.1	Solyc00g500258.1	Solyc00g500258.1
Solyc00g500259.1	Solyc00g500259.1	Solyc00g500259.1
Solyc00g500260.1	Solyc00g500260.1	Solyc00g500260.1
Solyc00g500261.1	Solyc00g500261.1	Solyc00g500261.1
Solyc00g500262.1	Solyc00g500262.1	Solyc00g500262.1
Solyc00g500263.1	Solyc00g500263.1	Solyc00g500263.1
Solyc00g500264.1	Solyc00g500264.1	Solyc00g500264.1
Solyc00g500265.1	Solyc00g500265.1	Solyc00g500265.1
Solyc00g500266.1	Solyc00g500266.1	Solyc00g500266.1
Solyc00g500267.1	Solyc00g500267.1	Solyc00g500267.1
Solyc00g500268.1	Solyc00g500268.1	Solyc00g500268.1
Solyc00g500269.1	Solyc00g500269.1	Solyc00g500269.1
Solyc00g500270.1	Solyc00g500270.1	Solyc00g500270.1
Solyc00g500271.1	Solyc00g500271.1	Solyc00g500271.1
Solyc00g500272.1	Solyc00g500272.1	Solyc00g500272.1
Solyc00g500273.1	Solyc00g500273.1	Solyc00g500273.1
Solyc00g500274.1	Solyc00g500274.1	Solyc00g500274.1
Solyc00g500275.1	Solyc00g500275.1	Solyc00g500275.1
Solyc00g500276.1	Solyc00g500276.1	Solyc00g500276.1
Solyc00g500277.1	Solyc00g500277.1	Solyc00g500277.1
Solyc00g500278.1	Solyc00g500278.1	Solyc00g500278.1
Solyc00g500279.1	Solyc00g500279.1	Solyc00g500279.1
Solyc00g500280.1	Solyc00g500280.1	Solyc00g500280.1
Solyc00g500281.1	Solyc00g500281.1	Solyc00g500281.1
Solyc00g500282.1	Solyc00g500282.1	Solyc00g500282.1
Solyc00g500283.1	Solyc00g500283.1	Solyc00g500283.1
Solyc00g500284.1	Solyc00g500284.1	Solyc00g500284.1
Solyc00g500285.1	Solyc00g500285.1	Solyc00g500285.1
Solyc00g500286.1	Solyc00g500286.1	Solyc00g500286.1
Solyc00g500287.1	Solyc00g500287.1	Solyc00g500287.1
Solyc00g500288.1	Solyc00g500288.1	Solyc00g500288.1
Solyc00g500289.1	Solyc00g500289.1	Solyc00g500289.1
Solyc00g500290.1	Solyc00g500290.1	Solyc00g500290.1
Solyc00g500291.1	Solyc00g500291.1	Solyc00g500291.1
Solyc00g500292.1	Solyc00g500292.1	Solyc00g500292.1
Solyc00g500293.1	Solyc00g500293.1	Solyc00g500293.1
Solyc00g500294.1	Solyc00g500294.1	Solyc00g500294.1
Solyc00g500295.1	Solyc00g500295.1	Solyc00g500295.1
Solyc00g500296.1	Solyc00g500296.1	Solyc00g500296.1
Solyc00g500297.1	Solyc00g500297.1	Solyc00g500297.1
Solyc00g500298.1	Solyc00g500298.1	Solyc00g500298.1
Solyc00g500299.1	Solyc00g500299.1	Solyc00g500299.1
Solyc00g500300.1	Solyc00g500300.1	Solyc00g500300.1
Solyc00g500301.1	Solyc00g500301.1	Solyc00g500301.1
Solyc00g500302.1	Solyc00g500302.1	Solyc00g500302.1
Solyc00g500303.1	Solyc00g500303.1	Solyc00g500303.1
Solyc00g500304.1	Solyc00g500304.1	Solyc00g500304.1
Solyc00g500305.1	Solyc00g500305.1	Solyc00g500305.1
Solyc00g500306.1	Solyc00g500306.1	Solyc00g500306.1
Solyc00g500307.1	Solyc00g500307.1	Solyc00g500307.1
Solyc00g500308.1	Solyc00g500308.1	Solyc00g500308.1
Solyc00g500309.1	Solyc00g500309.1	Solyc00g500309.1
Solyc00g500310.1	Solyc00g500310.1	Solyc00g500310.1
Solyc00g500311.1	Solyc00g500311.1	Solyc00g500311.1
Solyc00g500312.1	Solyc00g500312.1	Solyc00g500312.1
Solyc00g500313.1	Solyc00g500313.1	Solyc00g500313.1
Solyc00g500314.1	Solyc00g500314.1	Solyc00g500314.1
